CONSIGNEE_PIN,CONSIGNEE_NAME,ENTRY_NUMBER, ENTRY_TOTAL_AMOUNT_PAYABLE , CUSTOMS_VALUE 
P052004635Q,Meswa Merchants Limited,35,270259742,1689485113.4
P051753836L,THREE (MT) NETWORK LIMITED,153,368646298,1585745971.9
P051679902Q,Spec Sasa Logistics Limited,139,305996759,602894372.49
P052012667X,Makram Imports And Exports Limited,7,77431357,482757530.6
P052092523Q,Plasma-plus Co. Limited,91,183965033,380735521.28
P051764603D,Guuremart Ltd,24,68468877,331506301.63
P052014162R,West Valley Sugar Company Limited,11,12695621,218293205.63
P051774543L,Lunajope Limited,83,134574993,209512745.18
P052020004X,Swift Haven Agencies (k) Limited,48,102055233,208889075.39
P051972149N,Hanaqad Investment Limited,20,81880962,196464028.88
P051898821W,Oltepesi Plants Limited,6,38569384,179131194.12
P052021512Y,FTJ Trading Co. Limited,13,91083499,171361305.65
P051968641X,Ashwell Logistics Limited,32,59240905,132789826.5
P051179409D,Agenzia Spaziale Italiana,10,39461751,131863863.19999999
P052104461R,AFRISOL PHARMACEUTICALS KENYA LIMITED,6,10294197,128676229.9
P052042932Q,Blackcircles Tyre Limited,3,50410633,118274483.3
P051987625X,Realtime Freight Forwarders Limited,21,59277238,117160150.28
P051712349F,Joppa Sea Limited,28,55284980,114287471.1
P051931411Q,Qatar Plastic Industrial Ltd,19,23806083,108532980.86
P052046562E,MULLEN VENTURES LIMITED,19,53762149,106255220.7
P051823408C,Vex Healthcare Limited,2,50955241,105044225.16
P051832488T,FLO RETAIL KE LIMITED,26,54234437,101211507.45
P051850785R,Volks Elevator Africa Limited,14,21636251,100716182.99000001
P051537941N,PEGASUS MERCHANTS KENYA LIMITED,5,48402049,95734142.1
P052052860W,Linkfresh Fruit And Veg Kenya Limited,37,18452282,93818077.49
P051863052I,Hazina Cargo And Carriers Limited,23,34646559,92516776.91
P051873894B,ECONMAX MERCHANTS LIMITED,19,39814327,85916731.64
P051838156W,Alencure Logistics Limited,4,4709350,85081240.24000001
P052076125W,GAS&amp;GO ENERGIES LIMITED,3,28332898,83303637.5
P052026133R,BANAMI TRADING COMPANY LIMITED,35,59582603,81058522.46
P051708498E,RUTZWIN CLEANING SERVICES LIMITED,15,31008403,74542135.65
P051773945P,Zzattura International Limited,9,11257141,70357104.72
P052037299P,Homegrown Freight Connection Limited,14,30062213,69138663.65
P051995516P,Adnoor Investments Limited,14,35606899,68431488.83
P052100994X,Bagalma Limited,1,21994197,64679194.5
P051724112S,OEG Kenya Limited,3,13423166,62429816.760000005
P051841859Z,Car Warehouse Limited,14,57865367,61027548.09
P051725744N,KANGSA ENTERPRISE LIMITED,24,37426113,59883900.0
P051096793R,The Gideons International,2,12516503,58039144.5
P051781235A,Rich Power Electrical Limited,12,26409519,56605856.64
P051946799M,Pefu Trading Limited,11,24212342,55248510.22
P051978052X,Caemwa Limited,22,34090689,54445558.41
P052012551Z,Bivety Limited,11,26968119,54007518.97
P051937276B,Megascope Logistics Limited,22,33584332,53915061.49
P051663615A,Alphaville Logistics Limited,2,11743273,53803087.9
P052081133I,Zhu Xuwei Sc Limited,12,25795105,53472239.22
P051367058M,Amref Flying Doctors,4,3663776,53241207.20999999
P052087533D,FREDDY HIRSCH GROUP KENYA LTD,9,15379425,52675562.870000005
P051991872S,BOVTY LIMITED,1,11356411,52028839.4
P052044249W,FALCON ELITE TRADING LIMITED,3,24192406,51326629.800000004
P052009805Y,HDP FRESH CONNECTION LIMITED,16,6366370,49532557.08
P051383569M,CHALBI BUSINESS SOLUTIONS LIMITED,2,9740736,48672467.92
P051203195A,NETCARE LIMITED,5,34042490,47806173.33
P051502905U,Bahati Rural Contractors Limited,16,7620880,47630463.84
P051786870A,Scalefast Logistics Limited,7,10139886,45945230.97
P051915496B,Zhancheng Investment Limited,1,2511755,45256872.8
P051787781E,Quality Roadex Limited,6,15555576,45020025.78
P051648959E,JASMART MOTORCYCLES LIMITED,13,18233492,44969910.16
P051809866E,Primepower Limited,11,22208855,44299956.09
P052048838J,Kemjo Limited,10,22012577,43810066.21
P051726372R,HIMMAT LIMITED,17,24691486,43594519.33
P051623529E,Eagle Park East Africa Limited,16,27074503,43122876.82
P051589382B,Kohistan Kenya Trading Limited,2,24564380,42575195.0
P052034440Z,Bazenga Freight Forwarders Cosultancy Limited,15,20872016,42108755.06
P051899748I,STEFLO STORES LIMITED,2,8665922,39769333.2
P051989445D,High Spend Electricals Limited,9,18807246,39585315.21
P051613415T,Growpact Kitale Limited,6,13031537,39543606.72
P051556142G,Farmiteque Agencies Limited,2,8452820,39266188.3
P051917115G,Boss Victorious Flag Limited,1,12855161,38563400.3
P051939969N,Better Power Electrical Limited,9,17809065,38296491.44
P051898466H,Goldfield Ventures Agencies Limited,2,8104322,37294312.5
P051880302V,Virosue Enterprise Limited,15,24841109,36982315.07
P051669847B,NIRAAN INDUSTRIES LIMITED,2,1413541,36634081.08
P051640888Q,Network Of Reform And Awareness Cbo,1,65165,34939611.5
P051747592B,Chick Ways (k) Limited,4,5420641,34502210.69
P051904938P,Lofty Services And Consultants Limited,1,5534117,33917971.9
P051982089X,TAMAM ELECTRICALS LIMITED,8,16605504,33192977.02
P052002711C,DECOR GYPSUM BOARD LIMITED,2,6908097,31942194.83
P051127875K,Mariru Agribusiness Company Limited,4,6727788,31266049.71
P051819246T,Ziham Merchants Limited,1,10215937,30605231.6
P052030073N,Albraka Investment Limited,9,15128676,30167535.6
P051676552S,Mombasa Dolphin Resort Limited,6,7746266,29825726.16
P052022024F,Aqua Houses Ltd,9,18573277,29696756.11
P051933642J,Everoak Limited,6,6454662,29528236.5
P051897149Z,Eversafe Ventures,1,6387438,29301274.8
P051622683L,Aisha Zubair Malta Limited,13,18226515,28945837.82
P052105341Z,PURIHON LIMITED,12,20932951,28808617.61
P052031736M,Baraka Towers Limited,5,13896952,28462371.27
P051909526T,Yellow Bell Enterprises Limited,7,28778522,28357654.87
P052097388T,Inakash Logistics Limited,11,16612390,28352051.25
P052049004T,Rosejam Limited,11,17551884,28179176.09
P051664521C,SHANACO INDUSTRIAL CO. LIMITED,11,17712446,28125847.32
P051755419J,MF BATTERIES ENERGY LIMITED,8,16207883,28026357.83
P052129092I,Heriacah Traders Limited,11,17540980,27960842.21
P051669336T,REENS LOGISTICS LIMITED,10,4473196,27957427.54
P052008287K,Pure Power Electricals & Electronics Ltd,6,13206537,27427937.98
P051651804U,PARTEX INVESTMENT LIMITED,1,9136889,27344934.5
P051839039U,POWERCARE LIMITED,6,13207445,26752754.58
P052021981U,Power Nation Limited,6,12203920,26715537.54
P052033189C,Agromarex Commodities Limited,1,5778092,26472116.7
P051603497P,Minrad Trading Company Limited,1,5775840,26461724.8
P051833834J,KULTHUM PROPERTIES LIMITED,1,5775840,26461724.8
P052120891V,BLESSET INVESTMENT LTD,9,16370673,26279854.259999998
P052021304Z,Hemstone Petroleum Limited,6,8683062,26211351.89
P051538278X,King Steel Kenya Limited,1,5657006,26206276.3
P051801067C,Bahriye Company Limited,6,12416128,26160201.47
P051606150F,Yuxuan Trading Company Limited,6,13216624,26122270.830000002
P051664870Q,Mejagron Limited,6,19095951,26051244.2
P051330624N,The Fish Paradise Farm & Hatchery Limited,3,2325281,25903591.22
P052071995F,Almasi Sky Limited,4,12937072,25607900.939999998
