ENTRY_NUMBER,CONSIGNEE_PIN,CONSIGNEE_NAME,ENTRY_VERSION,REG_DATE, ENTRY_TOTAL_AMOUNT_PAYABLE , CUSTOMS_VALUE ,REGIME,pin_no,return_no,trp_from_dt,trp_to_dt,trp_period_year,trp_status,station_name,business_type,created_dt,is_amended,is_trp_active,return_date,obligation_id,obligation_name,is_nil_return,tax_payer_type
19NBOIM400578096,P000592073V,British Airways PLC,1,17/07/2019,1081757,5428961.32,IM4,P000592073V,KRA202009545560,2019-01-01 00:00:00,2019-12-31 00:00:00,2019,APRV,BUNGOMA,COMP,2020-05-27 10:45:09.404,N,Y,2020-05-27 10:45:09.404,4,Income Tax - Company,Y,NONINDI
19NBOIM402566366,P051782761Z,United Sourcing And Supplies Limited,1,27/11/2019,1204156,2137691.93,IM4,P051782761Z,KRA202114429554,2019-04-18 00:00:00,2019-12-31 00:00:00,2019,APRV,West of Nairobi,COMP,2021-06-30 09:04:26.372,N,Y,2021-06-30 09:04:26.372,4,Income Tax - Company,Y,NONINDI
19NBOIM400954617,P051710119Q,ROLINGWAYS LIMITED,2,10/09/2019,127920,3647675.61,IM4,P051710119Q,KRA202013693802,2019-01-01 00:00:00,2019-12-31 00:00:00,2019,APRV,East of Nairobi,COMP,2020-06-30 14:56:12.611,N,Y,2020-06-30 14:56:12.611,4,Income Tax - Company,Y,NONINDI
19NBOIM400710789,P051696607Z,SM ALPHABETA TECHNOLOGIES LIMITED,1,05/08/2019,1020336,2103264.34,IM4,P051696607Z,KRA202013472559,2019-01-01 00:00:00,2019-12-31 00:00:00,2019,APRV,North of Nairobi,COMP,2020-06-30 06:55:47.081,N,Y,2020-06-30 06:55:47.081,4,Income Tax - Company,Y,NONINDI
19NBOIM402323513,P051624692Q,De La Rue Kenya Epz Limited,1,20/11/2019,559635,2601770.61,IM4,P051624692Q,KRA201904676202,2019-01-01 00:00:00,2019-03-31 00:00:00,2019,APRV,West of Nairobi,COMP,2019-04-23 15:18:37.008,N,Y,2019-04-23 15:18:37.008,4,Income Tax - Company,Y,NONINDI
19NBOIM401054972,P051603348D,Dl Kaptel Tea Factory Limited,2,18/09/2019,507109,2599268.7,IM4,P051603348D,KRA202018490552,2019-01-01 00:00:00,2019-12-31 00:00:00,2019,APRV,West of Nairobi,COMP,2020-10-05 11:34:51.824,N,Y,2020-10-05 11:34:51.824,4,Income Tax - Company,Y,NONINDI
19NBOIM401116778,P000606520O,Kenya Union Of The Blind,1,26/09/2019,111018,3164766.95,IM4,P000606520O,KRA202119636893,2019-01-01 00:00:00,2019-12-31 00:00:00,2019,APRV,East of Nairobi,OTHERS,2021-10-04 19:35:43.699,N,Y,2021-10-04 19:35:43.699,4,Income Tax - Company,Y,NONINDI
19NBOIM401127598,P051567292W,Radiotec Africa Limited,1,27/09/2019,1267425,6498325.89,IM4,P051567292W,KRA202312119400,2019-01-01 00:00:00,2019-12-31 00:00:00,2019,APRV,Mombasa North,COMP,2023-06-27 11:13:27.289,N,Y,2023-06-27 11:13:27.289,4,Income Tax - Company,Y,NONINDI
19NBOIM402123821,P051567292W,Radiotec Africa Limited,1,12/11/2019,635722,3258823.97,IM4,P051567292W,KRA202312119400,2019-01-01 00:00:00,2019-12-31 00:00:00,2019,APRV,Mombasa North,COMP,2023-06-27 11:13:27.289,N,Y,2023-06-27 11:13:27.289,4,Income Tax - Company,Y,NONINDI
19NBOIM401249587,P051812106U,Ledrad Media Ltd,1,07/10/2019,1518587,4882106.16,IM4,P051812106U,KRA202002689699,2019-07-16 00:00:00,2019-12-31 00:00:00,2019,APRV,West of Nairobi,COMP,2020-02-24 15:17:57.559,N,Y,2020-02-24 15:17:57.559,4,Income Tax - Company,Y,NONINDI
19MBAIM400256714,P051179292Z,M J & SONS LIMITED,1,09/10/2019,3814221,4125220.15,IM4,P051179292Z,KRA202013478007,2019-01-01 00:00:00,2019-12-31 00:00:00,2019,APRV,North of Nairobi,COMP,2020-06-30 07:56:51.958,N,Y,2020-06-30 07:56:51.958,4,Income Tax - Company,Y,NONINDI
19MBAIM400281028,P051712923B,Danka Plant And Equipment Limited,2,22/10/2019,484996,13696271.1,IM4,P051712923B,KRA202114549084,2019-01-01 00:00:00,2019-12-31 00:00:00,2019,APRV,North of Nairobi,COMP,2021-06-30 12:23:23.298,N,Y,2021-06-30 12:23:23.298,4,Income Tax - Company,Y,NONINDI
19MBAIM400314182,P051712923B,Danka Plant And Equipment Limited,2,23/10/2019,314317,8904991.9,IM4,P051712923B,KRA202114549084,2019-01-01 00:00:00,2019-12-31 00:00:00,2019,APRV,North of Nairobi,COMP,2021-06-30 12:23:23.298,N,Y,2021-06-30 12:23:23.298,4,Income Tax - Company,Y,NONINDI
